card_id,bin,issuer,card_type
c_000000,469337,CHASE,CREDIT
c_000001,406168,HDFC,DEBIT
c_000002,433498,CITI,DEBIT
c_000003,536936,ICICI,CREDIT
c_000004,422718,HDFC,DEBIT
c_000005,446079,ICICI,DEBIT
c_000006,548844,CHASE,DEBIT
c_000007,491972,HDFC,DEBIT
c_000008,407697,SBI,CREDIT
c_000009,403022,CHASE,CREDIT
c_000010,514091,SBI,DEBIT
c_000011,467777,SBI,CREDIT
c_000012,412059,SBI,DEBIT
c_000013,437834,CHASE,CREDIT
c_000014,457347,SBI,CREDIT
c_000015,406593,HDFC,DEBIT
c_000016,487266,ICICI,DEBIT
c_000017,495931,CHASE,DEBIT
c_000018,481035,CHASE,DEBIT
c_000019,468019,ICICI,CREDIT
c_000020,546363,CHASE,DEBIT
c_000021,528757,CHASE,DEBIT
c_000022,442777,SBI,DEBIT
c_000023,433087,CHASE,DEBIT
c_000024,503347,CHASE,DEBIT
c_000025,533532,CHASE,CREDIT
c_000026,501561,SBI,CREDIT
c_000027,440014,ICICI,CREDIT
c_000028,420077,CITI,CREDIT
c_000029,507156,CITI,CREDIT
c_000030,533860,SBI,CREDIT
c_000031,524074,CHASE,DEBIT
c_000032,441849,CITI,DEBIT
c_000033,454445,SBI,DEBIT
c_000034,409568,CHASE,DEBIT
c_000035,533761,SBI,CREDIT
c_000036,478993,ICICI,DEBIT
c_000037,461680,SBI,CREDIT
c_000038,454912,SBI,DEBIT
c_000039,480540,CHASE,CREDIT
c_000040,543572,ICICI,DEBIT
c_000041,439535,HDFC,CREDIT
c_000042,513462,SBI,CREDIT
c_000043,442893,SBI,CREDIT
c_000044,550688,ICICI,DEBIT
c_000045,504770,SBI,CREDIT
c_000046,423053,HDFC,DEBIT
c_000047,529252,ICICI,DEBIT
c_000048,539249,ICICI,CREDIT
c_000049,465294,HDFC,CREDIT
c_000050,461211,SBI,DEBIT
c_000051,488437,CITI,CREDIT
c_000052,531188,CITI,DEBIT
c_000053,416979,CITI,CREDIT
c_000054,553796,CHASE,DEBIT
c_000055,506208,CHASE,CREDIT
c_000056,404793,SBI,DEBIT
c_000057,426412,HDFC,DEBIT
c_000058,423883,ICICI,CREDIT
c_000059,481527,ICICI,CREDIT
c_000060,421564,ICICI,DEBIT
c_000061,407682,HDFC,CREDIT
c_000062,413358,SBI,CREDIT
c_000063,401098,ICICI,CREDIT
c_000064,437297,HDFC,CREDIT
c_000065,413859,HDFC,DEBIT
c_000066,442770,HDFC,DEBIT
c_000067,427534,CITI,CREDIT
c_000068,544378,CITI,DEBIT
c_000069,421019,HDFC,CREDIT
c_000070,408502,HDFC,DEBIT
c_000071,478070,CHASE,DEBIT
c_000072,463098,HDFC,CREDIT
c_000073,425926,CITI,CREDIT
c_000074,545431,CHASE,DEBIT
c_000075,427515,CHASE,DEBIT
c_000076,493003,CITI,DEBIT
c_000077,532992,SBI,DEBIT
c_000078,552524,SBI,CREDIT
c_000079,537332,SBI,CREDIT
c_000080,402470,HDFC,DEBIT
