device_id,os,browser,is_emulator
d_000000,Windows,Chrome,1
d_000001,Android,Chrome,0
d_000002,Android,Safari,0
d_000003,Android,Safari,0
d_000004,iOS,Safari,1
d_000005,iOS,Edge,0
d_000006,Windows,Edge,0
d_000007,Android,Safari,1
d_000008,Linux,Firefox,0
d_000009,Linux,Firefox,0
d_000010,Windows,Firefox,0
d_000011,Linux,Firefox,1
d_000012,iOS,Edge,0
d_000013,Windows,Edge,0
d_000014,Linux,Chrome,1
d_000015,Windows,Chrome,0
d_000016,Windows,Chrome,0
d_000017,iOS,Safari,0
d_000018,Android,Firefox,0
d_000019,Android,Chrome,0
d_000020,Windows,Safari,1
d_000021,Windows,Firefox,0
d_000022,iOS,Firefox,0
d_000023,Android,Edge,0
d_000024,Android,Firefox,0
d_000025,iOS,Edge,1
d_000026,Windows,Chrome,0
d_000027,Android,Chrome,1
d_000028,Windows,Edge,0
d_000029,Android,Safari,1
d_000030,Linux,Chrome,0
d_000031,Android,Firefox,0
d_000032,Windows,Safari,0
d_000033,Android,Edge,0
d_000034,Android,Safari,1
d_000035,Windows,Edge,1
d_000036,iOS,Firefox,0
d_000037,Linux,Chrome,0
d_000038,Windows,Chrome,1
d_000039,Linux,Safari,1
d_000040,Linux,Safari,0
d_000041,Linux,Safari,1
d_000042,iOS,Chrome,0
d_000043,Linux,Firefox,0
d_000044,Android,Edge,0
d_000045,Windows,Firefox,1
d_000046,Windows,Firefox,0
d_000047,Windows,Safari,0
d_000048,Linux,Safari,0
d_000049,Android,Safari,1
d_000050,Windows,Safari,0
d_000051,Android,Chrome,0
d_000052,iOS,Firefox,0
d_000053,Windows,Chrome,0
d_000054,Linux,Edge,0
d_000055,Windows,Safari,0
d_000056,iOS,Firefox,0
d_000057,iOS,Chrome,1
d_000058,Android,Firefox,1
d_000059,Android,Firefox,0
d_000060,Windows,Chrome,0
d_000061,Android,Chrome,1
d_000062,Windows,Firefox,1
d_000063,Android,Firefox,0
d_000064,iOS,Edge,1
d_000065,Windows,Edge,0
d_000066,iOS,Safari,0
d_000067,Android,Chrome,1
d_000068,Windows,Firefox,0
d_000069,Linux,Safari,1
d_000070,Windows,Firefox,0
d_000071,Windows,Safari,0
d_000072,Android,Firefox,0
d_000073,Android,Firefox,1
d_000074,iOS,Firefox,0
d_000075,iOS,Chrome,1
d_000076,iOS,Edge,1
d_000077,iOS,Edge,0
d_000078,Windows,Edge,0
d_000079,iOS,Safari,0
d_000080,iOS,Firefox,0
d_000081,Linux,Safari,0
d_000082,Windows,Chrome,0
d_000083,iOS,Firefox,0
d_000084,Android,Firefox,0
d_000085,Linux,Firefox,1
d_000086,Windows,Safari,1
d_000087,Android,Safari,0
d_000088,Android,Firefox,0
d_000089,iOS,Safari,0
d_000090,Windows,Chrome,0
d_000091,iOS,Edge,1
d_000092,iOS,Edge,0
d_000093,Linux,Safari,1
d_000094,iOS,Safari,0
d_000095,Linux,Chrome,0
d_000096,Linux,Safari,0
d_000097,iOS,Chrome,0
d_000098,Linux,Edge,0
d_000099,Linux,Safari,0
d_000100,Linux,Chrome,1
d_000101,Windows,Edge,1
