txn_id,note_text,created_at
tx_2024-01_30648,Device fingerprint inconsistent.,2025-05-16 08:34:14
tx_2024-01_124225,Merchant previously linked to fraud ring.,2025-04-16 06:51:54
tx_2024-01_127083,Device fingerprint inconsistent.,2025-01-10 09:33:57
tx_2024-01_83684,Multiple failed attempts before success.,2025-04-04 11:58:58
tx_2024-01_147469,Multiple failed attempts before success.,2025-08-21 03:39:00
tx_2024-01_8804,Cardholder reported unauthorized transaction.,2025-05-05 08:06:25
tx_2024-01_53419,Device fingerprint inconsistent.,2025-07-02 15:05:45
tx_2024-01_74923,Cardholder reported unauthorized transaction.,2025-07-28 03:05:21
tx_2024-01_117627,Cardholder reported unauthorized transaction.,2025-07-16 06:50:06
tx_2024-01_35404,Device fingerprint inconsistent.,2025-03-27 00:28:27
tx_2024-01_50462,Multiple failed attempts before success.,2025-08-25 19:15:44
tx_2024-01_130613,Merchant previously linked to fraud ring.,2025-03-09 09:46:59
tx_2024-01_16699,Merchant previously linked to fraud ring.,2025-01-08 20:15:20
tx_2024-01_144799,Multiple failed attempts before success.,2025-05-26 21:51:13
tx_2024-01_88431,Device fingerprint inconsistent.,2025-04-20 11:18:55
tx_2024-01_116197,Device fingerprint inconsistent.,2025-12-11 18:14:12
tx_2024-01_41594,Merchant previously linked to fraud ring.,2025-11-12 23:06:33
tx_2024-01_44274,Device fingerprint inconsistent.,2025-06-28 13:10:11
tx_2024-01_85582,Cardholder reported unauthorized transaction.,2025-03-12 06:21:57
tx_2024-01_102797,Device fingerprint inconsistent.,2025-08-24 08:59:36
tx_2024-01_129436,Multiple failed attempts before success.,2025-12-06 17:54:45
tx_2024-01_65959,Device fingerprint inconsistent.,2025-11-17 07:44:52
tx_2024-01_114320,Merchant previously linked to fraud ring.,2025-02-14 10:55:28
tx_2024-01_77270,Cardholder reported unauthorized transaction.,2025-09-13 14:24:24
tx_2024-01_143721,Merchant previously linked to fraud ring.,2025-11-26 08:40:15
tx_2024-01_62179,Cardholder reported unauthorized transaction.,2025-01-25 11:55:05
tx_2024-01_17775,Device fingerprint inconsistent.,2025-08-24 18:27:41
tx_2024-01_76707,Cardholder reported unauthorized transaction.,2025-07-25 10:48:28
tx_2024-01_95049,Cardholder reported unauthorized transaction.,2025-01-29 14:23:45
tx_2024-01_99837,Multiple failed attempts before success.,2025-06-16 11:12:29
tx_2024-01_91583,Merchant previously linked to fraud ring.,2025-06-02 19:11:54
tx_2024-01_114547,Multiple failed attempts before success.,2025-05-04 17:24:34
tx_2024-01_87515,Cardholder reported unauthorized transaction.,2025-07-23 16:31:28
tx_2024-01_45982,Cardholder reported unauthorized transaction.,2025-05-04 14:17:33
tx_2024-01_112773,Multiple failed attempts before success.,2025-12-13 21:48:27
tx_2024-01_77892,Merchant previously linked to fraud ring.,2025-06-06 19:00:20
tx_2024-01_82831,Multiple failed attempts before success.,2025-06-23 18:03:46
tx_2024-01_28513,Merchant previously linked to fraud ring.,2025-07-19 12:55:00
tx_2024-01_88636,Device fingerprint inconsistent.,2025-01-31 08:11:22
tx_2024-01_148769,Device fingerprint inconsistent.,2025-03-15 18:02:44
tx_2024-01_62647,Cardholder reported unauthorized transaction.,2025-06-30 06:22:23
tx_2024-01_71249,Cardholder reported unauthorized transaction.,2025-03-04 15:41:09
