merchant_id,merchant_name,mcc,country,risk_tier
m_00000,Olson-Alexander,5411,IN,HIGH
m_00001,Chang-Perry,5732,US,HIGH
m_00002,"Sweeney, Klein and Miller",5812,IN,LOW
m_00003,Schwartz LLC,5541,IN,HIGH
m_00004,Davis-Barrett,5311,IN,HIGH
m_00005,Moore-Cruz,5411,US,LOW
m_00006,Thomas Ltd,5541,SG,LOW
m_00007,"Jackson, Bryant and Scott",5541,US,LOW
m_00008,Harris and Sons,5541,DE,HIGH
m_00009,Hines and Sons,5311,SG,LOW
m_00010,Anderson-Mason,5411,US,MEDIUM
m_00011,Holt-Lee,5311,GB,HIGH
m_00012,"Alvarez, Spencer and Ford",5812,US,MEDIUM
m_00013,Gonzalez-Cox,5411,IN,MEDIUM
m_00014,Wilkins Ltd,5411,GB,MEDIUM
m_00015,Meza and Sons,5541,GB,MEDIUM
m_00016,Clay Inc,5311,SG,LOW
m_00017,King LLC,5311,IN,LOW
m_00018,Williams Inc,5732,SG,HIGH
m_00019,Singleton Group,5541,US,MEDIUM
m_00020,Chavez-Miller,5411,IN,HIGH
m_00021,Murray PLC,5812,GB,HIGH
m_00022,Raymond-Knapp,5812,IN,LOW
m_00023,Foster PLC,5732,DE,MEDIUM
m_00024,"Thompson, Bonilla and Stevens",5732,US,HIGH
m_00025,"Rodriguez, Roberts and Figueroa",5732,US,MEDIUM
m_00026,"Kim, Hansen and Ramirez",5732,IN,HIGH
m_00027,"Mercado, Willis and Yang",5812,SG,HIGH
m_00028,Anderson LLC,5812,US,HIGH
m_00029,Williams Inc,5311,GB,MEDIUM
m_00030,Ingram-Byrd,5541,US,HIGH
m_00031,Liu Group,5732,IN,HIGH
m_00032,Calderon-Stanton,5411,GB,LOW
m_00033,Washington and Sons,5732,IN,MEDIUM
m_00034,"Montgomery, Adams and Ballard",5541,GB,LOW
m_00035,"Brown, Harris and Ortiz",5311,DE,LOW
m_00036,Brewer Ltd,5311,US,HIGH
m_00037,"Burton, Lopez and Carter",5812,US,MEDIUM
m_00038,"Lewis, Mccoy and Ramirez",5541,SG,HIGH
m_00039,Choi-Valencia,5541,DE,MEDIUM
m_00040,Cox-Robinson,5311,GB,HIGH
m_00041,Rodriguez-Fox,5812,SG,LOW
m_00042,Powell Ltd,5411,IN,MEDIUM
m_00043,Smith LLC,5812,US,LOW
m_00044,"Moore, Gonzales and Miller",5311,SG,HIGH
m_00045,Johnson LLC,5311,DE,LOW
m_00046,Davis-Mclaughlin,5311,SG,HIGH
m_00047,"Smith, Terry and Williams",5541,IN,MEDIUM
m_00048,Harrison-Brown,5411,SG,HIGH
m_00049,Bowman PLC,5732,IN,MEDIUM
m_00050,Skinner-Thomas,5311,US,MEDIUM
m_00051,Holmes-Lloyd,5411,GB,MEDIUM
m_00052,"Brooks, Guzman and Gonzalez",5812,SG,HIGH
m_00053,Long-Hall,5732,SG,LOW
m_00054,Mason PLC,5812,US,HIGH
m_00055,"Schwartz, Anderson and Jackson",5812,SG,MEDIUM
m_00056,Brooks-Burns,5411,SG,HIGH
m_00057,Cook-Garcia,5311,IN,MEDIUM
m_00058,Rogers PLC,5732,GB,LOW
m_00059,Williams-Scott,5411,US,LOW
m_00060,Brown-Farley,5411,IN,HIGH
m_00061,"Anderson, Cox and Charles",5311,IN,HIGH
m_00062,Brown Ltd,5812,US,HIGH
m_00063,"Robinson, Harris and Neal",5311,SG,HIGH
m_00064,"Stuart, Pace and Chang",5732,SG,LOW
m_00065,Davis LLC,5311,US,HIGH
m_00066,Dunn-Guerrero,5812,GB,HIGH
m_00067,Allen-Wilson,5732,DE,MEDIUM
m_00068,Buck Group,5311,IN,HIGH
m_00069,Mathews-Bates,5812,IN,LOW
m_00070,Campos-Mitchell,5411,SG,MEDIUM
m_00071,"Mcdaniel, Rice and Jones",5812,SG,HIGH
m_00072,Nash Ltd,5411,IN,LOW
m_00073,Bass and Sons,5411,US,HIGH
m_00074,Sanchez Group,5411,GB,LOW
m_00075,Davis Group,5541,US,LOW
m_00076,Orr-Williams,5311,US,MEDIUM
m_00077,Marshall-Chan,5812,SG,HIGH
m_00078,"Rogers, Allen and Jones",5311,US,HIGH
m_00079,Taylor Ltd,5311,US,MEDIUM
m_00080,Vaughan Ltd,5411,DE,LOW
m_00081,Wall Group,5311,DE,MEDIUM
m_00082,Lawrence-Parrish,5411,IN,MEDIUM
m_00083,Wilson Inc,5311,GB,LOW
m_00084,Ortiz-Thomas,5812,US,LOW
m_00085,Carroll and Sons,5541,DE,LOW
m_00086,Smith and Sons,5311,US,LOW
