txn_id,rule_name,rule_score
tx_2024-01_126729,IP_REUSE,45
tx_2024-01_121594,VELOCITY_1H,16
tx_2024-01_67155,HIGH_AMOUNT,80
tx_2024-01_135977,VELOCITY_1H,74
tx_2024-01_105566,VELOCITY_1H,14
tx_2024-01_20340,IP_REUSE,39
tx_2024-01_96731,ODD_COUNTRY,72
tx_2024-01_109490,IP_REUSE,88
tx_2024-01_12005,VELOCITY_1H,62
tx_2024-01_37560,ODD_COUNTRY,76
tx_2024-01_133304,HIGH_AMOUNT,70
tx_2024-01_92584,VELOCITY_1H,17
tx_2024-01_117791,VELOCITY_1H,28
tx_2024-01_70967,HIGH_AMOUNT,77
tx_2024-01_40338,HIGH_AMOUNT,35
tx_2024-01_93258,IP_REUSE,48
tx_2024-01_90478,VELOCITY_1H,78
tx_2024-01_117776,HIGH_AMOUNT,30
tx_2024-01_4954,ODD_COUNTRY,39
tx_2024-01_34737,IP_REUSE,17
tx_2024-01_105644,ODD_COUNTRY,66
tx_2024-01_68207,ODD_COUNTRY,56
tx_2024-01_130249,HIGH_AMOUNT,70
tx_2024-01_66783,IP_REUSE,82
tx_2024-01_19603,IP_REUSE,19
tx_2024-01_136677,ODD_COUNTRY,37
tx_2024-01_62905,IP_REUSE,72
tx_2024-01_115094,ODD_COUNTRY,53
tx_2024-01_80747,ODD_COUNTRY,80
tx_2024-01_46945,ODD_COUNTRY,45
tx_2024-01_84662,HIGH_AMOUNT,63
tx_2024-01_112879,IP_REUSE,36
tx_2024-01_11307,HIGH_AMOUNT,58
tx_2024-01_82890,HIGH_AMOUNT,40
tx_2024-01_119464,ODD_COUNTRY,45
tx_2024-01_14481,HIGH_AMOUNT,64
tx_2024-01_119187,VELOCITY_1H,21
tx_2024-01_117393,ODD_COUNTRY,26
tx_2024-01_8572,VELOCITY_1H,84
tx_2024-01_73672,VELOCITY_1H,74
tx_2024-01_62269,HIGH_AMOUNT,67
tx_2024-01_45882,IP_REUSE,74
tx_2024-01_81865,IP_REUSE,80
tx_2024-01_138514,HIGH_AMOUNT,33
tx_2024-01_13889,VELOCITY_1H,35
tx_2024-01_139807,HIGH_AMOUNT,79
tx_2024-01_45946,VELOCITY_1H,18
tx_2024-01_122584,VELOCITY_1H,74
tx_2024-01_1868,IP_REUSE,15
tx_2024-01_123924,HIGH_AMOUNT,22
tx_2024-01_112292,VELOCITY_1H,13
tx_2024-01_138776,ODD_COUNTRY,53
tx_2024-01_135000,ODD_COUNTRY,54
tx_2024-01_71021,VELOCITY_1H,16
tx_2024-01_27107,VELOCITY_1H,59
tx_2024-01_119072,VELOCITY_1H,17
tx_2024-01_18698,HIGH_AMOUNT,52
tx_2024-01_83248,VELOCITY_1H,47
tx_2024-01_47099,VELOCITY_1H,47
tx_2024-01_120853,HIGH_AMOUNT,72
tx_2024-01_13890,VELOCITY_1H,69
tx_2024-01_148704,IP_REUSE,46
tx_2024-01_64709,IP_REUSE,77
tx_2024-01_11273,IP_REUSE,17
tx_2024-01_91269,ODD_COUNTRY,17
tx_2024-01_130346,ODD_COUNTRY,74
tx_2024-01_47994,VELOCITY_1H,72
tx_2024-01_126468,HIGH_AMOUNT,20
tx_2024-01_51221,VELOCITY_1H,90
tx_2024-01_88285,HIGH_AMOUNT,71
tx_2024-01_115872,IP_REUSE,35
tx_2024-01_18908,VELOCITY_1H,87
tx_2024-01_71978,IP_REUSE,75
tx_2024-01_44600,VELOCITY_1H,46
tx_2024-01_61866,IP_REUSE,65
tx_2024-01_125353,IP_REUSE,24
tx_2024-01_67852,VELOCITY_1H,32
tx_2024-01_50654,ODD_COUNTRY,38
tx_2024-01_106741,IP_REUSE,78
tx_2024-01_129306,VELOCITY_1H,82
tx_2024-01_56550,VELOCITY_1H,46
tx_2024-01_80364,VELOCITY_1H,82
tx_2024-01_20766,IP_REUSE,76
tx_2024-01_74564,HIGH_AMOUNT,60
tx_2024-01_62521,VELOCITY_1H,51
tx_2024-01_142152,VELOCITY_1H,77
tx_2024-01_63514,HIGH_AMOUNT,61
tx_2024-01_129060,VELOCITY_1H,89
tx_2024-01_59140,IP_REUSE,50
tx_2024-01_122216,ODD_COUNTRY,84
tx_2024-01_145897,ODD_COUNTRY,23
tx_2024-01_115589,IP_REUSE,56
tx_2024-01_77581,HIGH_AMOUNT,10
tx_2024-01_74656,VELOCITY_1H,61
tx_2024-01_107678,ODD_COUNTRY,53
tx_2024-01_85942,VELOCITY_1H,10
tx_2024-01_20438,ODD_COUNTRY,89
tx_2024-01_96485,HIGH_AMOUNT,29
tx_2024-01_55038,ODD_COUNTRY,65
tx_2024-01_81845,VELOCITY_1H,23
tx_2024-01_74611,IP_REUSE,49
tx_2024-01_3443,IP_REUSE,49
tx_2024-01_68764,VELOCITY_1H,17
tx_2024-01_135467,HIGH_AMOUNT,20
tx_2024-01_74843,ODD_COUNTRY,26
tx_2024-01_138866,IP_REUSE,14
tx_2024-01_61352,HIGH_AMOUNT,86
tx_2024-01_39393,HIGH_AMOUNT,48
tx_2024-01_135565,IP_REUSE,66
tx_2024-01_68638,ODD_COUNTRY,38
tx_2024-01_101128,ODD_COUNTRY,84
tx_2024-01_61219,ODD_COUNTRY,59
tx_2024-01_25853,HIGH_AMOUNT,40
tx_2024-01_3868,IP_REUSE,16
tx_2024-01_8302,VELOCITY_1H,67
tx_2024-01_38126,VELOCITY_1H,72
tx_2024-01_118577,HIGH_AMOUNT,33
tx_2024-01_6788,IP_REUSE,11
tx_2024-01_32378,ODD_COUNTRY,13
tx_2024-01_148191,HIGH_AMOUNT,45
tx_2024-01_63491,HIGH_AMOUNT,84
tx_2024-01_128884,ODD_COUNTRY,35
tx_2024-01_123744,ODD_COUNTRY,51
tx_2024-01_48038,IP_REUSE,13
tx_2024-01_120789,VELOCITY_1H,62
tx_2024-01_119950,ODD_COUNTRY,58
tx_2024-01_59619,HIGH_AMOUNT,46
tx_2024-01_39112,IP_REUSE,88
tx_2024-01_134587,ODD_COUNTRY,14
tx_2024-01_116755,ODD_COUNTRY,42
tx_2024-01_76273,IP_REUSE,22
tx_2024-01_101710,IP_REUSE,36
tx_2024-01_124452,ODD_COUNTRY,35
tx_2024-01_55135,IP_REUSE,56
tx_2024-01_70890,ODD_COUNTRY,83
tx_2024-01_33538,HIGH_AMOUNT,71
tx_2024-01_66314,IP_REUSE,70
tx_2024-01_12197,ODD_COUNTRY,39
tx_2024-01_49847,VELOCITY_1H,36
tx_2024-01_120163,VELOCITY_1H,19
tx_2024-01_96178,VELOCITY_1H,75
tx_2024-01_136637,IP_REUSE,19
tx_2024-01_5894,VELOCITY_1H,58
tx_2024-01_59640,VELOCITY_1H,54
tx_2024-01_115138,VELOCITY_1H,49
tx_2024-01_5364,IP_REUSE,12
tx_2024-01_26617,IP_REUSE,65
tx_2024-01_38345,IP_REUSE,49
tx_2024-01_43066,VELOCITY_1H,31
tx_2024-01_3731,VELOCITY_1H,66
tx_2024-01_118865,VELOCITY_1H,62
tx_2024-01_17446,HIGH_AMOUNT,77
tx_2024-01_71435,VELOCITY_1H,38
tx_2024-01_45198,IP_REUSE,23
tx_2024-01_49754,HIGH_AMOUNT,69
tx_2024-01_127602,VELOCITY_1H,57
tx_2024-01_21455,HIGH_AMOUNT,32
tx_2024-01_65242,VELOCITY_1H,83
tx_2024-01_12308,HIGH_AMOUNT,25
tx_2024-01_65924,HIGH_AMOUNT,22
tx_2024-01_142222,ODD_COUNTRY,14
tx_2024-01_123131,ODD_COUNTRY,33
tx_2024-01_78995,HIGH_AMOUNT,51
tx_2024-01_35962,VELOCITY_1H,19
tx_2024-01_114727,HIGH_AMOUNT,51
tx_2024-01_66878,HIGH_AMOUNT,13
tx_2024-01_61441,HIGH_AMOUNT,47
tx_2024-01_149974,VELOCITY_1H,38
tx_2024-01_27483,IP_REUSE,12
tx_2024-01_58000,ODD_COUNTRY,51
tx_2024-01_35034,ODD_COUNTRY,80
tx_2024-01_134407,ODD_COUNTRY,79
tx_2024-01_76190,IP_REUSE,80
tx_2024-01_34340,HIGH_AMOUNT,20
tx_2024-01_29418,IP_REUSE,60
tx_2024-01_37139,ODD_COUNTRY,32
tx_2024-01_95001,IP_REUSE,79
tx_2024-01_109825,VELOCITY_1H,23
tx_2024-01_21835,HIGH_AMOUNT,46
tx_2024-01_98530,ODD_COUNTRY,24
tx_2024-01_3507,IP_REUSE,39
tx_2024-01_139404,HIGH_AMOUNT,32
tx_2024-01_21921,ODD_COUNTRY,29
tx_2024-01_2677,ODD_COUNTRY,71
tx_2024-01_67617,VELOCITY_1H,28
tx_2024-01_86315,ODD_COUNTRY,42
tx_2024-01_72632,IP_REUSE,62
tx_2024-01_40399,ODD_COUNTRY,70
tx_2024-01_99290,ODD_COUNTRY,44
tx_2024-01_147753,HIGH_AMOUNT,59
tx_2024-01_17690,ODD_COUNTRY,30
tx_2024-01_141001,VELOCITY_1H,42
tx_2024-01_25324,IP_REUSE,42
tx_2024-01_104062,IP_REUSE,12
tx_2024-01_42258,VELOCITY_1H,43
tx_2024-01_49562,IP_REUSE,42
tx_2024-01_28825,IP_REUSE,31
tx_2024-01_38895,VELOCITY_1H,57
tx_2024-01_52350,HIGH_AMOUNT,13
tx_2024-01_71179,HIGH_AMOUNT,35
tx_2024-01_42584,HIGH_AMOUNT,81
tx_2024-01_93533,IP_REUSE,60
tx_2024-01_48035,VELOCITY_1H,42
tx_2024-01_18449,HIGH_AMOUNT,88
tx_2024-01_118888,IP_REUSE,42
tx_2024-01_41381,IP_REUSE,48
tx_2024-01_135789,HIGH_AMOUNT,46
tx_2024-01_33817,IP_REUSE,87
tx_2024-01_89474,VELOCITY_1H,88
tx_2024-01_105573,IP_REUSE,18
tx_2024-01_49901,HIGH_AMOUNT,61
tx_2024-01_78548,HIGH_AMOUNT,71
tx_2024-01_7600,HIGH_AMOUNT,21
tx_2024-01_99216,IP_REUSE,17
tx_2024-01_77594,VELOCITY_1H,12
tx_2024-01_130311,ODD_COUNTRY,75
tx_2024-01_24514,IP_REUSE,73
tx_2024-01_41,ODD_COUNTRY,20
tx_2024-01_124587,VELOCITY_1H,67
tx_2024-01_50798,VELOCITY_1H,32
tx_2024-01_126213,ODD_COUNTRY,10
tx_2024-01_30200,ODD_COUNTRY,59
tx_2024-01_30856,ODD_COUNTRY,75
tx_2024-01_56169,IP_REUSE,32
tx_2024-01_101310,HIGH_AMOUNT,71
tx_2024-01_143659,ODD_COUNTRY,21
tx_2024-01_132598,VELOCITY_1H,38
tx_2024-01_128304,ODD_COUNTRY,81
tx_2024-01_6041,VELOCITY_1H,74
tx_2024-01_108638,HIGH_AMOUNT,46
tx_2024-01_102560,VELOCITY_1H,38
tx_2024-01_136523,VELOCITY_1H,65
tx_2024-01_117569,VELOCITY_1H,58
tx_2024-01_58867,HIGH_AMOUNT,14
tx_2024-01_58351,ODD_COUNTRY,83
tx_2024-01_27800,IP_REUSE,12
tx_2024-01_115236,IP_REUSE,52
tx_2024-01_128476,HIGH_AMOUNT,48
tx_2024-01_81574,IP_REUSE,83
tx_2024-01_54318,VELOCITY_1H,86
tx_2024-01_57345,ODD_COUNTRY,24
tx_2024-01_149989,VELOCITY_1H,70
tx_2024-01_105514,ODD_COUNTRY,89
tx_2024-01_105192,ODD_COUNTRY,63
tx_2024-01_63949,HIGH_AMOUNT,29
tx_2024-01_82933,IP_REUSE,42
tx_2024-01_128950,HIGH_AMOUNT,41
