txn_id,txn_ts,amount,card_id,merchant_id,device_id,channel,country,auth_result,is_fraud
tx_2024-01_0,2024-01-27 14:57:52,42.37,c_007287,m_01053,d_004251,MOBILE,IN,APPROVED,0
tx_2024-01_1,2024-01-14 16:57:16,21.07,c_004881,m_01524,d_001428,WEB,,DECLINED,1
tx_2024-01_2,2024-01-25 15:23:21,50.02,c_005326,m_00683,d_004574,API,GB,APPROVED,0
tx_2024-01_3,2024-01-24 16:31:52,131.02,c_001100,m_01596,d_000925,WEB,US,,0
tx_2024-01_4,2024-01-25 01:37:42,18.96,c_006993,m_00853,d_001740,API,US,,0
tx_2024-01_5,2024-01-25 11:33:17,18.96,c_000449,m_01640,d_002493,WEB,GB,,0
tx_2024-01_6,2024-01-28 16:05:30,139.37,c_007934,m_00999,d_002698,MOBILE,GB,,0
tx_2024-01_7,2024-01-02 14:23:10,57.06,c_000538,m_01660,d_004305,API,,APPROVED,0
tx_2024-01_8,2024-01-12 02:06:09,14.64,c_000858,m_00251,d_001306,MOBILE,GB,DECLINED,0
tx_2024-01_8,2024-01-12 02:06:09,14.64,c_000858,m_00251,d_001306,MOBILE,GB,DECLINED,0
tx_2024-01_9,2024-01-03 18:42:53,44.56,c_001074,m_01405,d_001740,WEB,US,DECLINED,0
tx_2024-01_10,2024-01-01 19:45:41,14.74,c_002526,m_00363,d_002002,WEB,,,0
tx_2024-01_11,2024-01-04 20:27:19,14.7,c_004366,m_00650,d_001366,WEB,,APPROVED,0
tx_2024-01_12,2024-01-07 07:47:48,32.01,c_007090,m_00928,d_001371,MOBILE,IN,APPROVED,0
tx_2024-01_13,2024-01-11 22:25:53,2.99,c_000793,m_01913,d_000348,WEB,IN,APPROVED,0
tx_2024-01_14,2024-01-04 03:04:22,3.68,c_001847,m_00812,d_001391,WEB,US,APPROVED,0
tx_2024-01_15,2024-01-02 13:16:11,13.22,c_001446,m_00061,d_004634,API,IN,APPROVED,0
tx_2024-01_16,2024-01-14 11:01:05,8.05,c_003179,m_01261,d_003174,WEB,US,DECLINED,0
tx_2024-01_17,2024-01-24 19:58:18,34.66,c_001283,m_00074,d_002312,MOBILE,IN,,0
tx_2024-01_17,2024-01-24 19:58:18,34.66,c_001283,m_00074,d_002312,MOBILE,IN,,0
